Designação da instituição,Distrito,Concelho,Modalidade Desportiva,Federação Desportiva,Variante,Edição,Homens,Mulheres
Monte Agraço Futebol Clube,Lisboa,Sobral de Monte Agraço,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,54,0
Monte Agraço Futebol Clube,Lisboa,Sobral de Monte Agraço,Futebol_Futsal,Futebol,Futsal,2012 / 2013,0,15
Monte Córdova Futebol Clube,Porto,Santo Tirso,Futebol_Futebol 11,Futebol,Futebol 11,s/d,0,0
Monte de Caparica Atlético Clube,Setúbal,Almada,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,115,0
Monte de Caparica Atlético Clube,Setúbal,Almada,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,49,0
Monte Figo Team,Faro,Faro,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,18,1
Monte Kapa Escola de Desporto,Setúbal,Almada,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,52,35
Montes de Vinhais - Associação de Desportos Juventude e Ambiente,Bragança,Vinhais,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,16,0
Montes de Vinhais - Associação de Desportos Juventude e Ambiente,Bragança,Vinhais,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,34,0
Montes de Vinhais - Associação de Desportos Juventude e Ambiente,Bragança,Vinhais,Futebol_Futsal,Futebol,Futsal,2012 / 2013,14,14
Montes de Vinhais - Associação de Desportos Juventude e Ambiente,Bragança,Vinhais,Natação_Águas Abertas,Natação,Águas Abertas,2012 / 2013,1,0
Montes de Vinhais - Associação de Desportos Juventude e Ambiente,Bragança,Vinhais,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,4,0
Montes e Vales - Associação Transmontana para o Turismo e Desporto de Ar Livre,Vila Real,Chaves,Orientação_Orientação,Orientação,Orientação,2012 / 2013,3,0
Montijo Basket Associação,Setúbal,Montijo,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,100,7
Montoito Sport Clube,Évora,Redondo,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,13,1
Montoito Sport Clube,Évora,Redondo,Futebol_Futsal,Futebol,Futsal,s/d,0,0
Montra de Talentos Desportiva - Academia Clube Milão,Braga,Guimarães,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,0,23
Monumental Bilhar Club,Coimbra,Coimbra,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,56,5
Morcul Rugby de Mortágua,Viseu,Mortágua,Rugby_Rugby,Rugby,Rugby,2012 / 2013,8,0
Moreirense Futebol Clube,Braga,Guimarães,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,210,0
Moreirense Futebol Clube,Braga,Guimarães,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,38,0
Mortágua Futebol Clube,Viseu,Mortágua,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,74,0
Mortágua Futebol Clube,Viseu,Mortágua,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,47,1
Mosandebol /CAPM,Leiria,Porto de Mós,Andebol_Andebol,Andebol,Andebol,s/d,0,0
Mosteirô Futebol Clube,Aveiro,Santa Maria da Feira,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,7,8
Mosteirô Futebol Clube,Aveiro,Santa Maria da Feira,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,24,0
Mosteirô Futebol Clube,Aveiro,Santa Maria da Feira,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,23,0
Mosteiro Futebol Clube (Rio Tinto),Porto,Gondomar,Futebol_Futsal,Futebol,Futsal,2012 / 2013,39,0
Moto - Avenida de Alverca Lda.,Lisboa,Vila Franca de Xira,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,1,0
Moto Clube de Quarteira - Asas da Cidade,Faro,Loulé,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,31,3
Motobikerebelos,Porto,Marco de Canaveses,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,14,0
Motor Clube (Leiria),Leiria,Leiria,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,25,0
Motor Clube de Basto,Braga,Celorico de Basto,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,3,0
Motor Clube de Felgueiras,Porto,Felgueiras,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,7,0
Motores a Broa BTT Race Team,Coimbra,Coimbra,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,15,0
Mouquim Associação Unida,Braga,Vila Nova de Famalicão,Futebol_Futsal,Futebol,Futsal,2012 / 2013,16,0
Moura Atlético Clube,Beja,Moura,Andebol_Andebol,Andebol,Andebol,s/d,0,0
Moura Atlético Clube,Beja,Moura,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,101,0
Moura Atlético Clube,Beja,Moura,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,71,0
